Name,Album,Artist,Spotify Link
Singarala,Dalapathi,Ilaiyaraaja,https://open.spotify.com/track/6D7qZFYHS3L81jcAfEz0ob
Chiku Buku Raile,Gentleman,A.R. Rahman,https://open.spotify.com/track/6Iv9XZhzV7ayQxdpZuoybH
Kanulu Kanulanu,Donga Donga (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/6FmYS51UpvVfARkh6okAgE
Veera Bobbili Kotalo,Donga Donga (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/7DzGHdAzR6RSXRMH2YAQHx
Kotta Bangaru Lokam,Donga Donga (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/6YPNHvJX43MzGkwd7Z8B8v
Ee Velalo Neevu,Gulabi,Shashi Preetam,https://open.spotify.com/track/4CYSPPTOOQcjg8OHbJsFiH
Beat In My Heart,Gulabi,Shashi Preetam,https://open.spotify.com/track/0LMvYrD1JpHavQcyRoSaqZ
Dream Girl,Gulabi,Shashi Preetam,https://open.spotify.com/track/2n0SXvTNi7a8u76Dgn8VxY
Ee Rojaithey Chusanu,Gulabi,Shashi Preetam,https://open.spotify.com/track/5oc5zncQWEQxNuNK4HyDdT
Andamaina Premarani,Premikudu,A.R. Rahman,https://open.spotify.com/track/5XJBYtJWgfwk18RTamYnCZ
O Cheliya,Premikudu,A.R. Rahman,https://open.spotify.com/track/6QreIcgO4nIJ4cCtRmotg6
Urvashi Urvashi,Premikudu,A.R. Rahman,https://open.spotify.com/track/67uJogpIBq6BcNrIJaRSNN
Alupannadi,Gayam,Sri,https://open.spotify.com/track/6RnalZcp3Dpad8MVEg8D2I
Andalalo,Jagadekaveerudu Athiloka Sundari,Ilaiyaraaja,https://open.spotify.com/track/4ADmVZKScgWTaBfP0k77eA
Andhama Andhuma,Govinda Govinda,Raj-Koti,https://open.spotify.com/track/6wfvttks8elZeW0h1IeAfp
Priya Priyathama,Killer,Ilaiyaraaja,https://open.spotify.com/track/3QyicuTmZEWO1hU3c3QbW6
Ukkiri Bikkiri,Killer,Ilaiyaraaja,https://open.spotify.com/track/3QvHfZzofGl0xo055ku4gg
Nee Tholisariga,Santhosham,R. P. Patnaik,https://open.spotify.com/track/4mIOdOh49kfRSZBwvylulK
Yeto Vellipoyindi,Ninne Pelladatha,Sandeep Chowta,https://open.spotify.com/track/0pFU6YAwMxz6w4z51oMUI3
Naaloney Pongaynu,Surya S/o Krishnan (Original Motion Picture Soundtrack),Harris Jayaraj,https://open.spotify.com/track/2bageubuN1HjNZwTNlyh0v
Nenu Nuvvantu,Orange,Harris Jayaraj,https://open.spotify.com/track/0X0Y2AnYuIdn9arB8P6EB4
Bommanu Geesthey,Bommarillu,Devi Sri Prasad,https://open.spotify.com/track/3WkFzi4WS4PeJhHMn2Zbnl
Preminche Premava,Nuvvu Nenu Prema,A.R. Rahman,https://open.spotify.com/track/1FtRJTH2uCemK3N2qUOb3U
Swaasye,Yemaaya Chesave (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/3wLSkMlEznZFqKioZUdXva
"Ee Raathale (From ""Radhe Shyam"")","Ee Raathale (From ""Radhe Shyam"")",Yuvan Shankar Raja,https://open.spotify.com/track/50RcuWjfUcoJfWMNegXF0b
Leharaayi,Most Eligible Bachelor,Gopi Sundar,https://open.spotify.com/track/0pCXbJ3lbtinCZnwg1CYDC
Padi Padi Leche,Padi Padi Leche Manasu,Vishal Chandrashekhar,https://open.spotify.com/track/7tXaDnRF8OVbcecl0KurVn
Emai Poyave,Padi Padi Leche Manasu,Vishal Chandrashekhar,https://open.spotify.com/track/14M1StehpwsydSGGy8z9eq
Kallolam,Padi Padi Leche Manasu,Vishal Chandrashekhar,https://open.spotify.com/track/0yC6tx8cpkHSa5H2PW2xpR
"Adiga Adiga - From ""Ninnu Kori""","Adiga Adiga (From ""Ninnu Kori"")",Gopi Sundar,https://open.spotify.com/track/2ChLs6LH0Kc6h2f7WI2l0w
Undiporaadhey,Hushaaru,Radhan,https://open.spotify.com/track/6jUscicoyUljrPOdQCfhnd
Priyathama Priyathama,Majili,Gopi Sundar,https://open.spotify.com/track/4wHZiaLsuI9aQdWv4f3Esd
O Cheliya,Premikudu (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/3pYrfcnW0yQhEkJfdZcy8Q
Andamanani Premarani,Premikudu (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/6iAxFoK0DGQnAXfT3XUiog
Vurike Chilakaa - Bombay / Soundtrack Version,Bombay,Various Artists,https://open.spotify.com/track/5yGdf9A3Hjn7oSMIE6Lx9Y
Yemi Cheyamanduve,Priyuraalu Pilichindi (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/0bMyZZLNhFJNDcSKvhhHwB
Palike Gorinka,Priyuraalu Pilichindi (Original Motion Picture Soundtrack),A.R. Rahman,https://open.spotify.com/track/14ht05dj1udpJDggdoeHI3
Kannanule - Bombay / Soundtrack Version,Bombay,Various Artists,https://open.spotify.com/track/5jyHsyGvIxawivb6enu5H3
Pedhavi Daatani,Thammudu,Ramana Gogula,https://open.spotify.com/track/6OlRtuNOOPFcXdBww7A3Sq
Kannullo Ne Roopame,Ninne Pelladatha,Sandeep Chowta,https://open.spotify.com/track/7jbNMW04ju92tfMsSwIJyi
Sundari Neeve,Dalapathi,Ilaiyaraaja,https://open.spotify.com/track/4uSdLJZ1Qoe1ckC5WGmipG
Hello Guru,Nirnayam,Ilaiyaraaja,https://open.spotify.com/track/3ncNP7wNX7J0iHTjkmVEsV
Mila Mila,Nirnayam,Ilaiyaraaja,https://open.spotify.com/track/63bGEMKULCYCMHWwgT2ER5
Manase Eduru Tirige,Premante Idera,Ramana Gogula,https://open.spotify.com/track/2gAl10gbmHiEjgaNQT6PYl
Naalo Unna Prema,Premante Idera,Ramana Gogula,https://open.spotify.com/track/29WICEf45hZLUJYcLx4py9
Vayasa Chusuko,Premante Idera,Ramana Gogula,https://open.spotify.com/track/3ED2BFRpLVhL0MBA709emX
Poovullo Daagunna,Jeans,A.R. Rahman,https://open.spotify.com/track/4M8dRVFWKMfh7hPzGCYxra
"Jaamurathiri (From ""Kshana Kshanam"")",Sangeethotsavam - Best Telugu Duets Of Spb & Chitra Vol-2,S. P. Balasubrahmanyam,https://open.spotify.com/track/39isdLCkPmb2G08Ltq1OEb
Ye Chilipi,Gharshanaa,Harris Jayaraj,https://open.spotify.com/track/3LYt0b1ljHUYoG5YL2WwWP
Nuvvu Nuvvu,Khadgam,Devi Sri Prasad,https://open.spotify.com/track/2jRAFRpeDnibcHvtDgWRhG
Edhuta Nilichindhi,Vaana,Kamalakar,https://open.spotify.com/track/7t7FpQkhNuPal6ucwIodn0
Evare,Premam,Rajesh Murugesan,https://open.spotify.com/track/1NXSmIEOulY9u4TxwuSUoe
Emaindhi Eevela,Aadavari Matalaku Ardhalu Veruley,Yuvan Shankar Raja,https://open.spotify.com/track/3E8mVTnCMmXJNq6Pbcfkp7
Manasuna Edho Raagam,Yentha Vaadu Gaanie (Original Motion Picture Soundtrack),Harris Jayaraj,https://open.spotify.com/track/5RJLNH6xaT1BI7xYtC4RQQ
Snehithudaa,Sakhi,A.R. Rahman,https://open.spotify.com/track/0b7HiR0vRs2gUbwZeJjfN3
Nanne Nanne,Gharshanaa,Harris Jayaraj,https://open.spotify.com/track/7JuDPCI0HLBEB5SFHr12ke
Neeti Mullai (Bit),Varsham,Devi Sri Prasad,https://open.spotify.com/track/29ffQxBUZLJdN3kiPndB9n
Inka Edho,Darling (Original Motion Picture Soundtrack),G. V. Prakash,https://open.spotify.com/track/0WM0NpFIZg6JhgneUyU5tl
