Name,Album,Artist,Spotify Link
Vinave Vinave,Raja Rani (Original Motion Picture Soundtrack),G. V. Prakash,https://open.spotify.com/track/0Yx6JNhm7AEnhfRQ0Hzo7u
Telisiney Na Nuvvey,Arjun Reddy (Original Motion Picture Soundtrack),Radhan,https://open.spotify.com/track/7dWxWBXKs3jGFhKxF9k52H
Maayera,Sainikudu,Harris Jayaraj,https://open.spotify.com/track/4ZI79kwi84DJcbiYFygJwW
Neeti Mullai (Bit),Varsham,Devi Sri Prasad,https://open.spotify.com/track/29ffQxBUZLJdN3kiPndB9n
Nee Selvadigi,Janatha Garage,Devi Sri Prasad,https://open.spotify.com/track/14ZvcewteMfdD32us40NDC
Dhooram Dhooram,100% Love (Original Motion Picture Soundtrack),Devi Sri Prasad,https://open.spotify.com/track/4YJLjxGYBmalo9i0yPKC2n
Na Prema Kathaku,Solo (Original Motion Picture Soundtrack),Mani Sharma,https://open.spotify.com/track/2xjB7pzvSKYaUxE9MWb7yJ
"Yemainado - From ""Mr. Majnu""",Mr. Majnu (Original Motion Picture Soundtrack),Thaman S,https://open.spotify.com/track/3wjx2rUwWGmTJmSPX9tgPu
Vellipoke,Memu Vayasuku Vachham,Various Artists,https://open.spotify.com/track/397ca8b09VvIeZtjVGcoRm
Endhukila,Rama Rama Krishna Krishna,M. M. Keeravani,https://open.spotify.com/track/2pUCjHq9F7lxEyg1Aky5Pg
Atu Nuvve,Current (Original Motion Picture Soundtrack),Devi Sri Prasad,https://open.spotify.com/track/1g0ySMUgybWuu780KoPQps
Choododde Nannu,Aaru,Devi Sri Prasad,https://open.spotify.com/track/1RCrBXLN9cn4WmbpT9uJGJ
Vellake,Cinema Chupista Mama (Original Motion Picture Soundtrack),Kalyani Malik,https://open.spotify.com/track/22bKagYpKQ1CFkH6eTdZcj
Varinche Prema,Malli Malli Idi Rani Roju,Gopi Sundar,https://open.spotify.com/track/4m7mqMdHGb0SrvCJe8F2k3
Povodhe Prema,Oye,Yuvan Shankar Raja,https://open.spotify.com/track/4HkipUaRTXwhDqstRFz9oB
Oorikey Ala,Majnu,Gopi Sundar,https://open.spotify.com/track/4WFIyoappONJFQkgFKf0i4
Karige Loga,Aarya - 2 (Original Motion Picture Soundtrack),Devi Sri Prasad,https://open.spotify.com/track/37I2SLeJcpkQpKFMLJt550
Yemi Cheyamanduve,Priyuraalu Pilichindi,A.R. Rahman,https://open.spotify.com/track/6GgP6NTpwRaokozTVyC6Be
Teluse Nuvvu Ravani,Oka Laila Kosam,Anup Rubens,https://open.spotify.com/track/4FnJ4RB27VnGclxPhshb3g
